"ID","Título","Descripcion","ULIs","Tarjeta"
"1","Inclusión/Humanismo","Toma en cuenta las sugerencias y experiencias de los demás, manteniendo una actitud abierta a aprender de otros y fomentando un ambiente de confianza y colaboración.","2","Inclusión/Humanismo"
"2","Inclusión/Humanismo","Reconoce y valida las emociones de los demás, identificando las fortalezas y habilidades de cada uno para el logro de los objetivos comunes.","4","Inclusión/Humanismo"
"3","Resiliencia","Se muestra seguro de sí mismo y supera cualquier obstáculo para alcanzar sus objetivos.","2","Resiliencia"
"4","Resiliencia","Brinda soluciones efectivas a los problemas que se le presentan, demostrando capacidad para superar obstáculos y adaptarse a las circunstancias.","4","Resiliencia"
"5","Respeto","Sabe escuchar y es receptivo a las opiniones de los demás mostrando interés genuino a las solicitudes, asegurando un servicio respetuoso y efectivo.","4","Respeto"
"6","Respeto","Se dirige a todos con amabilidad, mostrando interés en sus ideas y perspectivas.","2","Respeto"
"7","Integridad","Reconoce los errores cometidos, aprende de ellos y los rectifica, promoviendo la transparencia en sus acciones.","2","Integridad"
"8","Integridad","Piensa y actúa de manera consciente, sin afectar los intereses de los demás, incluso cuando nadie lo está observando.","4","Integridad"
"9","Innovación","Establece objetivos específicos y cuantificables para mejorar su desempeño en sus funciones diarias.","2","Búsqueda de la excelencia"
"10","Innovación","Utiliza el análisis de datos para identificar áreas de mejora y desarrollar estrategias enfocadas en la calidad.","4","Búsqueda de la excelencia"
"11","Flexibilidad","Expresa sus opiniones basadas en su conocimiento y experiencia, enriqueciendo el debate y generando soluciones.","4","Libertad Académica"
"12","Flexibilidad","Fomenta la libertad para aprender, investigar y compartir conocimiento.","2","Libertad Académica"
"13","Búsqueda de la excelencia","Visualiza oportunidades y transforma procesos o procedimientos que generen mayor valor para la Institución.","4","Innovación"
"14","Búsqueda de la excelencia"," Implementa ideas de manera efectiva en su rutina diaria que impulsan nuevos proyectos en su puesto de trabajo.","2","Innovación"
"15","Exponencial","Muestra disposición para salir de su zona de confort al hacer diferentes tareas con grupos multidisciplinarios según sea necesario. ","4","Flexibilidad"
"16","Exponencial","Demuestra apertura cuando se presenta nueva información o evidencia contraria.","2","Flexibilidad"
"17","Libertad Académica","Busca oportunidades de desarrollo y crecimiento constante.","2","Exponencial"
"18","Libertad Académica","Asume desafíos y retos con pasión y determinación.","4","Exponencial"
"19","Comunicación asertiva","Comunica sus ideas y emociones de forma directa y comprensible, manteniendo siempre un tono respetuoso y considerado hacia los demás.","2","Comunicación asertiva"
"20","Comunicación asertiva","Adapta su lenguaje verbal y no verbal según la audiencia y el contexto, asegurando una comunicación bidireccional efectiva que facilite el logro de los objetivos establecidos.","4","Comunicación asertiva"
"21","Liderazgo","Fomenta un ambiente de colaboración, alentando a los miembros del equipo a compartir conocimientos y trabajar juntos para alcanzar objetivos comunes.","2","Liderazgo"
"22","Liderazgo","Inspira al equipo a superar sus propios límites para desarrollar habilidades que impulsen su crecimiento.","4","Liderazgo"
"23","Pensamiento crítico","Analiza la información, hechos y evidencias antes de tomar una decisión.","2","Pensamiento crítico"
"24","Pensamiento crítico","Analiza a profundidad la causa principal de un problema y desarrolla soluciones efectivas.","4","Pensamiento crítico"
